Method,Forward,Backward,Forward,Backward,Forward,Backward,Forward,Backward,Forward,Backward,Forward,Backward
AutoDiff-unroll,0.0004,0.0001,0.0008,0.0002,0.0022,0.0004,0.0071,0.0012,-,-,-,-
AutoDiff-DDN-E,0.0004,0.0506,0.0008,0.0971,0.0021,0.1978,0.0074,2.0767,-,-,-,-
PI-unroll,0.0047,0.0120,0.0049,0.0174,0.0051,0.0344,0.0059,0.0984,-,-,-,-
PI-DDN-J,0.0039,0.0013,0.0041,0.0025,0.0043,0.0100,0.0050,0.0471,-,-,-,-
\rowcolor{lightgray} PI-DDN-E,0.0039,0.0005,0.0040,0.0006,0.0042,0.0012,0.0049,0.0024,-,-,-,-
PI-IFT-J,0.0039,0.0233,0.0040,0.0457,0.0043,0.1083,0.0055,1.1183,-,-,-,-
\rowcolor{lightgray} PI-IFT-E,0.0039,0.0003,0.0040,0.0004,0.0042,0.0007,0.0049,0.0015,-,-,-,-
SI-unroll,0.0137,0.0132,0.0398,0.0207,0.1220,0.0458,0.3967,0.1366,-,-,-,-
SI-DDN-J,0.0128,0.0013,0.0402,0.0028,0.1188,0.0098,0.3345,0.0485,-,-,-,-
\rowcolor{lightgray} SI-DDN-E,0.0126,0.0004,0.0380,0.0006,0.1183,0.0012,0.4351,0.0031,-,-,-,-
SI-IFT-J,0.0126,0.0225,0.0378,0.0445,0.1111,0.1079,0.3817,0.9694,-,-,-,-
\rowcolor{lightgray} SI-IFT-E,0.0127,0.0003,0.0383,0.0004,0.1182,0.0007,0.4098,0.0017,-,-,-,-
